row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,principal_diagnosis_code,diagnosis_description
6443632,2019,25,Chisago,COMMERCIAL,2,19 - 44 years,M,36,N50,Other and unspecified disorders of male genital organs
6445312,2019,25,Chisago,COMMERCIAL,3,45 - 64 years,M,14,S30,"Superfic inj abdomen, low back, pelvis and external genitals"
6448624,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,70,N30,Cystitis
6450640,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,20,I51,Complications and ill-defined descriptions of heart disease
6454240,2019,25,Chisago,MEDICARE,4,65 - 74 years,F,19,E05,Thyrotoxicosis [hyperthyroidism]
6456040,2019,25,Chisago,MEDICARE,5,75 years and older,F,315,I48,Atrial fibrillation and flutter
6458368,2019,27,Clay,COMMERCIAL,2,19 - 44 years,F,21,G89,"Pain, not elsewhere classified"
6460600,2019,27,Clay,COMMERCIAL,3,45 - 64 years,M,18,M77,Other enthesopathies
6463528,2019,27,Clay,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,30,H65,Nonsuppurative otitis media
6465448,2019,27,Clay,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,36,M48,Other spondylopathies
6469192,2019,27,Clay,MEDICARE,3,45 - 64 years,F,27,Z78,Other specified health status
6470848,2019,27,Clay,MEDICARE,4,65 - 74 years,M,13,F10,Alcohol related disorders
6472144,2019,27,Clay,MEDICARE,5,75 years and older,F,238,R91,Abnormal findings on diagnostic imaging of lung
6475720,2019,29,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,44,M79,"Oth and unsp soft tissue disorders, not elsewhere classified"
6480520,2019,29,Clearwater,MEDICARE,5,75 years and older,F,67,M99,"Biomechanical lesions, not elsewhere classified"
6485704,2019,31,Cook,MEDICARE,5,75 years and older,F,19,N39,Other disorders of urinary system
6283047,2019,1,Aitkin,COMMERCIAL,2,19 - 44 years,F,11,R00,Abnormalities of heart beat
6287583,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,32,M19,Other and unspecified osteoarthritis
6291591,2019,1,Aitkin,MEDICARE,5,75 years and older,F,28,K52,Other and unsp noninfective gastroenteritis and colitis
6293127,2019,3,Anoka,COMMERCIAL,1,18 years and under,F,134,N94,Pain and oth cond assoc w fem gntl org and menstrual cycle
6294327,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,F,134,B07,Viral warts
6295575,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,M,32,F15,Other stimulant related disorders
6296751,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,F,83,I82,Other venous embolism and thrombosis
6297735,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,M,13,H72,Perforation of tympanic membrane
6299151,2019,3,Anoka,COMMERCIAL,4,65 - 74 years,M,217,E78,Disorders of lipoprotein metabolism and other lipidemias
6301263,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,248,M54,Dorsalgia
6302607,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,34,T16,Foreign body in ear
6303591,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,344,R00,Abnormalities of heart beat
6304887,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,113,Z87,Personal history of other diseases and conditions
6305991,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,22,A04,Other bacterial intestinal infections
6307647,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,12,G93,Other disorders of brain
6310599,2019,3,Anoka,MEDICARE,3,45 - 64 years,F,15,D18,"Hemangioma and lymphangioma, any site"
6311919,2019,3,Anoka,MEDICARE,3,45 - 64 years,M,51,J20,Acute bronchitis
6313023,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,26,K82,Other diseases of gallbladder
6314103,2019,3,Anoka,MEDICARE,4,65 - 74 years,M,30,L28,Lichen simplex chronicus and prurigo
6492832,2019,33,Cottonwood,MEDICARE,4,65 - 74 years,M,19,M19,Other and unspecified osteoarthritis
6495544,2019,35,Crow Wing,COMMERCIAL,2,19 - 44 years,F,12,N85,"Other noninflammatory disorders of uterus, except cervix"
6499096,2019,35,Crow Wing,COMMERCIAL,5,75 years and older,M,21,M25,"Other joint disorder, not elsewhere classified"
6501208,2019,35,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,29,O43,Placental disorders
6503824,2019,35,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,13,Z89,Acquired absence of limb
6507640,2019,35,Crow Wing,MEDICARE,4,65 - 74 years,F,140,F33,"Major depressive disorder, recurrent"
6508960,2019,35,Crow Wing,MEDICARE,4,65 - 74 years,M,17,R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
6510400,2019,35,Crow Wing,MEDICARE,5,75 years and older,M,155,I65,"Occls and stenosis of precerb art, not rslt in cereb infrc"
6511696,2019,37,Dakota,COMMERCIAL,1,18 years and under,F,15,S43,Disloc and sprain of joints and ligaments of shoulder girdle
6512896,2019,37,Dakota,COMMERCIAL,2,19 - 44 years,F,38,D35,Benign neoplasm of other and unspecified endocrine glands
6513760,2019,37,Dakota,COMMERCIAL,2,19 - 44 years,F,39,S91,"Open wound of ankle, foot and toes"
6514984,2019,37,Dakota,COMMERCIAL,3,45 - 64 years,F,15,C67,Malignant neoplasm of bladder
6515968,2019,37,Dakota,COMMERCIAL,3,45 - 64 years,F,38,Z72,Problems related to lifestyle
6517144,2019,37,Dakota,COMMERCIAL,4,65 - 74 years,F,113,E03,Other hypothyroidism
6518728,2019,37,Dakota,COMMERCIAL,5,75 years and older,F,15,I42,Cardiomyopathy
6520432,2019,37,Dakota,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,25,P96,Other conditions originating in the perinatal period
6521512,2019,37,Dakota,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,42,R25,Abnormal involuntary movements
6522448,2019,37,Dakota,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,32,N31,"Neuromuscular dysfunction of bladder, NEC"
6523792,2019,37,Dakota,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,45,S63,Dislocation and sprain of joints and ligaments at wrs/hnd lv
6525184,2019,37,Dakota,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,12,E05,Thyrotoxicosis [hyperthyroidism]
6527032,2019,37,Dakota,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,45,R06,Abnormalities of breathing
6530080,2019,37,Dakota,MEDICARE,3,45 - 64 years,F,81,H43,Disorders of vitreous body
6531232,2019,37,Dakota,MEDICARE,3,45 - 64 years,M,30,K40,Inguinal hernia
6532240,2019,37,Dakota,MEDICARE,4,65 - 74 years,F,33,K25,Gastric ulcer
6533344,2019,37,Dakota,MEDICARE,4,65 - 74 years,M,13,K35,Acute appendicitis
6534424,2019,37,Dakota,MEDICARE,5,75 years and older,F,92,K58,Irritable bowel syndrome
6535456,2019,37,Dakota,MEDICARE,5,75 years and older,M,137,K22,Other diseases of esophagus
6538576,2019,39,Dodge,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,31,S01,Open wound of head
6542536,2019,39,Dodge,MEDICARE,4,65 - 74 years,F,25,R91,Abnormal findings on diagnostic imaging of lung
6545416,2019,41,Douglas,COMMERCIAL,2,19 - 44 years,F,19,D25,Leiomyoma of uterus
6547624,2019,41,Douglas,COMMERCIAL,3,45 - 64 years,M,11,K62,Other diseases of anus and rectum
6551128,2019,41,Douglas,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,105,E11,Type 2 diabetes mellitus
6554656,2019,41,Douglas,MEDICARE,3,45 - 64 years,M,24,F25,Schizoaffective disorders
6556456,2019,41,Douglas,MEDICARE,4,65 - 74 years,M,22,N32,Other disorders of bladder
6557800,2019,41,Douglas,MEDICARE,5,75 years and older,M,17,J02,Acute pharyngitis
6563008,2019,43,Faribault,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,22,Z48,Encounter for other postprocedural aftercare
6566656,2019,43,Faribault,MEDICARE,5,75 years and older,F,35,R35,Polyuria
6571408,2019,45,Fillmore,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,22,J44,Other chronic obstructive pulmonary disease
6575344,2019,45,Fillmore,MEDICARE,4,65 - 74 years,M,24,R19,Oth symptoms and signs involving the dgstv sys and abdomen
6577768,2019,47,Freeborn,COMMERCIAL,2,19 - 44 years,F,98,Z01,"Encntr for oth sp exam w/o complaint, suspected or reprtd dx"
6581968,2019,47,Freeborn,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,11,H35,Other retinal disorders
6585832,2019,47,Freeborn,MEDICARE,4,65 - 74 years,F,28,E83,Disorders of mineral metabolism
6587464,2019,47,Freeborn,MEDICARE,5,75 years and older,F,52,J98,Other respiratory disorders
6589336,2019,49,Goodhue,COMMERCIAL,2,19 - 44 years,F,20,B37,Candidiasis
6593488,2019,49,Goodhue,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,21,G56,Mononeuropathies of upper limb
6597064,2019,49,Goodhue,MEDICARE,2,19 - 44 years,F,12,R05,Cough
6599704,2019,49,Goodhue,MEDICARE,4,65 - 74 years,M,454,E11,Type 2 diabetes mellitus
6601000,2019,49,Goodhue,MEDICARE,5,75 years and older,F,26,R69,"Illness, unspecified"
6607432,2019,51,Grant,MEDICARE,4,65 - 74 years,M,18,I49,Other cardiac arrhythmias
6609712,2019,53,Hennepin,COMMERCIAL,1,18 years and under,F,46,Z93,Artificial opening status
6610720,2019,53,Hennepin,COMMERCIAL,1,18 years and under,M,17,Z72,Problems related to lifestyle
6611728,2019,53,Hennepin,COMMERCIAL,2,19 - 44 years,F,"1,441",R19,Oth symptoms and signs involving the dgstv sys and abdomen
6612784,2019,53,Hennepin,COMMERCIAL,2,19 - 44 years,M,125,N39,Other disorders of urinary system
6613720,2019,53,Hennepin,COMMERCIAL,3,45 - 64 years,F,59,I97,"Intraop and postproc comp and disorders of circ sys, NEC"
6614800,2019,53,Hennepin,COMMERCIAL,3,45 - 64 years,M,39,G54,Nerve root and plexus disorders
6616000,2019,53,Hennepin,COMMERCIAL,4,65 - 74 years,F,64,J20,Acute bronchitis
6617368,2019,53,Hennepin,COMMERCIAL,4,65 - 74 years,M,"1,773",Z00,"Encntr for general exam w/o complaint, susp or reprtd dx"
6618832,2019,53,Hennepin,COMMERCIAL,5,75 years and older,M,12,S79,Other and unspecified injuries of hip and thigh
6619840,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,389,R26,Abnormalities of gait and mobility
6620848,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,187,P28,Oth respiratory conditions origin in the perinatal period
6621760,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,420,I49,Other cardiac arrhythmias
6622648,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,207,A54,Gonococcal infection
6623584,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,38,R65,Symp and signs specifically assoc w sys inflam and infct
6624496,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,53,K60,Fissure and fistula of anal and rectal regions
6625360,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,273,D50,Iron deficiency anemia
6626152,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,"1,486",R94,Abnormal results of function studies
6627304,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,45,Z95,Presence of cardiac and vascular implants and grafts
6628768,2019,53,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,16,N81,Female genital prolapse
6630496,2019,53,Hennepin,MEDICARE,2,19 - 44 years,F,70,O09,Supervision of high risk pregnancy
6632008,2019,53,Hennepin,MEDICARE,3,45 - 64 years,F,"1,634",E78,Disorders of lipoprotein metabolism and other lipidemias
6632848,2019,53,Hennepin,MEDICARE,3,45 - 64 years,F,95,T85,Complications of internal prosth dev/grft
6633784,2019,53,Hennepin,MEDICARE,3,45 - 64 years,M,23,R15,Fecal incontinence
6314967,2019,3,Anoka,MEDICARE,5,75 years and older,F,124,I47,Paroxysmal tachycardia
6316191,2019,3,Anoka,MEDICARE,5,75 years and older,M,30,L73,Other follicular disorders
6318975,2019,5,Becker,COMMERCIAL,3,45 - 64 years,F,52,Z79,Long term (current) drug therapy
6321591,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,15,S92,"Fracture of foot and toe, except ankle"
6323727,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,12,S69,"Other and unspecified injuries of wrist, hand and finger(s)"
6327303,2019,5,Becker,MEDICARE,3,45 - 64 years,M,36,M19,Other and unspecified osteoarthritis
6328959,2019,5,Becker,MEDICARE,4,65 - 74 years,M,14,R82,Other and unspecified abnormal findings in urine
6330375,2019,5,Becker,MEDICARE,5,75 years and older,M,12,M77,Other enthesopathies
6333399,2019,7,Beltrami,COMMERCIAL,3,45 - 64 years,M,21,Z51,Encounter for other aftercare and medical care
6335847,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,14,L20,Atopic dermatitis
6337695,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,49,R60,"Edema, not elsewhere classified"
6341175,2019,7,Beltrami,MEDICARE,3,45 - 64 years,F,42,F31,Bipolar disorder
6343143,2019,7,Beltrami,MEDICARE,4,65 - 74 years,F,14,S40,Superficial injury of shoulder and upper arm
6344775,2019,7,Beltrami,MEDICARE,5,75 years and older,F,11,S91,"Open wound of ankle, foot and toes"
6346671,2019,9,Benton,COMMERCIAL,2,19 - 44 years,F,72,E03,Other hypothyroidism
6348711,2019,9,Benton,COMMERCIAL,3,45 - 64 years,M,38,F43,"Reaction to severe stress, and adjustment disorders"
6351687,2019,9,Benton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,15,O35,Maternal care for known or suspected fetal abnlt and damage
6355359,2019,9,Benton,MEDICARE,3,45 - 64 years,F,50,Z13,Encounter for screening for other diseases and disorders
6358095,2019,9,Benton,MEDICARE,5,75 years and older,M,20,F43,"Reaction to severe stress, and adjustment disorders"
6365247,2019,13,Blue Earth,COMMERCIAL,2,19 - 44 years,F,13,E55,Vitamin D deficiency
6368271,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,46,J01,Acute sinusitis
6370167,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,12,S82,"Fracture of lower leg, including ankle"
6372183,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,13,K40,Inguinal hernia
6376119,2019,13,Blue Earth,MEDICARE,3,45 - 64 years,M,41,Z45,Encounter for adjustment and management of implanted device
6634720,2019,53,Hennepin,MEDICARE,4,65 - 74 years,F,232,K56,Paralytic ileus and intestinal obstruction without hernia
6635488,2019,53,Hennepin,MEDICARE,4,65 - 74 years,M,35,D10,Benign neoplasm of mouth and pharynx
6636256,2019,53,Hennepin,MEDICARE,4,65 - 74 years,M,315,R25,Abnormal involuntary movements
6637024,2019,53,Hennepin,MEDICARE,5,75 years and older,F,11,I22,Subsequent STEMI & NSTEMI mocard infrc
6638008,2019,53,Hennepin,MEDICARE,5,75 years and older,M,19,E02,Subclinical iodine-deficiency hypothyroidism
6638848,2019,53,Hennepin,MEDICARE,5,75 years and older,M,11,T23,Burn and corrosion of wrist and hand
6645448,2019,55,Houston,MEDICARE,4,65 - 74 years,F,15,K22,Other diseases of esophagus
6649096,2019,57,Hubbard,COMMERCIAL,3,45 - 64 years,F,60,I10,Essential (primary) hypertension
6652600,2019,57,Hubbard,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,12,R19,Oth symptoms and signs involving the dgstv sys and abdomen
6656944,2019,57,Hubbard,MEDICARE,4,65 - 74 years,F,19,I35,Nonrheumatic aortic valve disorders
6659872,2019,59,Isanti,COMMERCIAL,1,18 years and under,F,14,Z29,Encounter for other prophylactic measures
6662488,2019,59,Isanti,COMMERCIAL,3,45 - 64 years,M,15,K63,Other diseases of intestine
6665512,2019,59,Isanti,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,179,Z36,Encounter for antenatal screening of mother
6670456,2019,59,Isanti,MEDICARE,4,65 - 74 years,F,17,J30,Vasomotor and allergic rhinitis
6672256,2019,59,Isanti,MEDICARE,5,75 years and older,F,11,R78,"Find of drugs and oth substnc, not normally found in blood"
6674536,2019,61,Itasca,COMMERCIAL,2,19 - 44 years,F,26,Z79,Long term (current) drug therapy
6677752,2019,61,Itasca,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,19,H50,Other strabismus
6679960,2019,61,Itasca,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,21,I45,Other conduction disorders
6684376,2019,61,Itasca,MEDICARE,3,45 - 64 years,F,19,K76,Other diseases of liver
6686512,2019,61,Itasca,MEDICARE,4,65 - 74 years,M,24,G62,Other and unspecified polyneuropathies
6687688,2019,61,Itasca,MEDICARE,5,75 years and older,F,18,N95,Menopausal and other perimenopausal disorders
6690640,2019,63,Jackson,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,14,R06,Abnormalities of breathing
6695728,2019,65,Kanabec,COMMERCIAL,1,18 years and under,F,16,R50,Fever of other and unknown origin
6700144,2019,65,Kanabec,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,11,Z11,Encounter for screening for infec/parastc diseases
6377535,2019,13,Blue Earth,MEDICARE,4,65 - 74 years,M,21,N31,"Neuromuscular dysfunction of bladder, NEC"
6378879,2019,13,Blue Earth,MEDICARE,5,75 years and older,M,61,I42,Cardiomyopathy
6381735,2019,15,Brown,COMMERCIAL,3,45 - 64 years,M,35,R07,Pain in throat and chest
6386511,2019,15,Brown,MEDICARE,3,45 - 64 years,F,11,I49,Other cardiac arrhythmias
6388719,2019,15,Brown,MEDICARE,4,65 - 74 years,M,587,Z00,"Encntr for general exam w/o complaint, susp or reprtd dx"
6390063,2019,15,Brown,MEDICARE,5,75 years and older,M,29,R82,Other and unspecified abnormal findings in urine
6394263,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,18,H91,Other and unspecified hearing loss
6396591,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,60,Z01,"Encntr for oth sp exam w/o complaint, suspected or reprtd dx"
6400623,2019,17,Carlton,MEDICARE,3,45 - 64 years,M,34,R05,Cough
6402495,2019,17,Carlton,MEDICARE,5,75 years and older,F,53,H04,Disorders of lacrimal system
6403791,2019,17,Carlton,MEDICARE,5,75 years and older,M,14,Z93,Artificial opening status
6405423,2019,19,Carver,COMMERCIAL,2,19 - 44 years,F,95,J30,Vasomotor and allergic rhinitis
6407055,2019,19,Carver,COMMERCIAL,3,45 - 64 years,F,49,J40,"Bronchitis, not specified as acute or chronic"
6409695,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,30,J30,Vasomotor and allergic rhinitis
6411423,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,26,R63,Symptoms and signs concerning food and fluid intake
6413367,2019,19,Carver,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,19,M16,Osteoarthritis of hip
